timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 05:40:29.442, 2190 MHz, 9.58 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:29.649, 2190 MHz, 9.61 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:29.849, 2190 MHz, 9.61 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:30.049, 2190 MHz, 9.61 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:30.249, 2190 MHz, 10.85 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:30.450, 2190 MHz, 10.85 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:30.650, 2190 MHz, 15.20 W, 31 %, 53, 0x0000000000000000
2026/09/12 05:40:30.850, 2190 MHz, 15.20 W, 31 %, 53, 0x0000000000000000
2026/09/12 05:40:31.050, 2190 MHz, 15.20 W, 31 %, 53, 0x0000000000000000
2026/09/12 05:40:31.251, 2190 MHz, 18.26 W, 31 %, 52, 0x0000000000000000
2026/09/12 05:40:31.451, 2190 MHz, 18.26 W, 31 %, 52, 0x0000000000000000
2026/09/12 05:40:31.651, 2190 MHz, 18.07 W, 15 %, 51, 0x0000000000000000
2026/09/12 05:40:31.852, 2190 MHz, 18.07 W, 15 %, 51, 0x0000000000000000
2026/09/12 05:40:32.052, 2190 MHz, 18.07 W, 15 %, 51, 0x0000000000000000
2026/09/12 05:40:32.252, 2190 MHz, 17.30 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:32.452, 2190 MHz, 17.30 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:32.653, 2190 MHz, 17.27 W, 49 %, 52, 0x0000000000000000
2026/09/12 05:40:32.853, 2190 MHz, 17.27 W, 49 %, 52, 0x0000000000000000
2026/09/12 05:40:33.053, 2190 MHz, 17.27 W, 49 %, 52, 0x0000000000000000
2026/09/12 05:40:33.253, 2190 MHz, 18.12 W, 49 %, 54, 0x0000000000000000
2026/09/12 05:40:33.454, 2190 MHz, 18.12 W, 49 %, 54, 0x0000000000000000
2026/09/12 05:40:33.654, 2190 MHz, 17.66 W, 24 %, 52, 0x0000000000000000
2026/09/12 05:40:33.854, 2190 MHz, 17.66 W, 24 %, 52, 0x0000000000000000
2026/09/12 05:40:34.055, 2190 MHz, 17.66 W, 24 %, 52, 0x0000000000000000
2026/09/12 05:40:34.255, 2190 MHz, 16.90 W, 24 %, 52, 0x0000000000000000
2026/09/12 05:40:34.455, 2190 MHz, 16.90 W, 24 %, 52, 0x0000000000000000
2026/09/12 05:40:34.655, 2190 MHz, 16.90 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:34.855, 2190 MHz, 16.90 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:35.056, 2190 MHz, 16.90 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:35.256, 2190 MHz, 17.54 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:35.457, 2190 MHz, 17.54 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:35.657, 2190 MHz, 17.01 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:35.857, 2190 MHz, 17.01 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:36.057, 2190 MHz, 17.01 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:36.257, 2190 MHz, 14.44 W, 15 %, 51, 0x0000000000000000
2026/09/12 05:40:36.458, 2190 MHz, 14.44 W, 15 %, 51, 0x0000000000000000
2026/09/12 05:40:36.658, 2190 MHz, 12.48 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:36.858, 2190 MHz, 12.48 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:37.058, 2190 MHz, 12.48 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:37.258, 2190 MHz, 12.64 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:37.458, 2190 MHz, 12.64 W, 15 %, 52, 0x0000000000000000
2026/09/12 05:40:37.658, 2190 MHz, 12.71 W, 21 %, 51, 0x0000000000000000
2026/09/12 05:40:37.859, 2190 MHz, 12.71 W, 21 %, 51, 0x0000000000000000
2026/09/12 05:40:38.059, 2190 MHz, 12.71 W, 21 %, 51, 0x0000000000000000
2026/09/12 05:40:38.259, 2190 MHz, 12.79 W, 21 %, 52, 0x0000000000000000
2026/09/12 05:40:38.459, 2190 MHz, 12.79 W, 21 %, 52, 0x0000000000000000
2026/09/12 05:40:38.659, 2190 MHz, 13.50 W, 20 %, 52, 0x0000000000000000
2026/09/12 05:40:38.859, 2190 MHz, 13.50 W, 20 %, 52, 0x0000000000000000
2026/09/12 05:40:39.060, 2190 MHz, 13.50 W, 20 %, 52, 0x0000000000000000
2026/09/12 05:40:39.260, 2190 MHz, 13.85 W, 20 %, 52, 0x0000000000000000
2026/09/12 05:40:39.460, 2190 MHz, 13.85 W, 20 %, 52, 0x0000000000000000
2026/09/12 05:40:39.660, 2190 MHz, 13.35 W, 19 %, 52, 0x0000000000000000
2026/09/12 05:40:39.860, 2190 MHz, 13.35 W, 19 %, 52, 0x0000000000000000
2026/09/12 05:40:40.060, 2190 MHz, 13.35 W, 19 %, 52, 0x0000000000000000
2026/09/12 05:40:40.261, 2190 MHz, 13.73 W, 19 %, 52, 0x0000000000000000
2026/09/12 05:40:40.461, 2190 MHz, 13.73 W, 19 %, 52, 0x0000000000000000
2026/09/12 05:40:40.661, 2190 MHz, 15.22 W, 30 %, 52, 0x0000000000000000
2026/09/12 05:40:40.861, 2190 MHz, 15.22 W, 30 %, 52, 0x0000000000000000
2026/09/12 05:40:41.061, 2190 MHz, 15.22 W, 30 %, 52, 0x0000000000000000
2026/09/12 05:40:41.261, 2190 MHz, 15.23 W, 30 %, 52, 0x0000000000000000
2026/09/12 05:40:41.462, 2190 MHz, 15.23 W, 30 %, 52, 0x0000000000000000
2026/09/12 05:40:41.662, 2190 MHz, 15.24 W, 37 %, 52, 0x0000000000000000
2026/09/12 05:40:41.862, 2190 MHz, 15.24 W, 37 %, 52, 0x0000000000000000
2026/09/12 05:40:42.062, 2190 MHz, 15.24 W, 37 %, 52, 0x0000000000000000
2026/09/12 05:40:42.263, 2190 MHz, 16.25 W, 37 %, 52, 0x0000000000000000
2026/09/12 05:40:42.463, 2190 MHz, 16.25 W, 37 %, 52, 0x0000000000000000
2026/09/12 05:40:42.663, 2190 MHz, 16.03 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:42.863, 2190 MHz, 16.03 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:43.063, 2190 MHz, 16.03 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:43.264, 2190 MHz, 15.77 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:43.464, 2190 MHz, 15.77 W, 28 %, 52, 0x0000000000000000
2026/09/12 05:40:43.664, 2190 MHz, 15.88 W, 36 %, 52, 0x0000000000000000
2026/09/12 05:40:43.864, 2190 MHz, 15.88 W, 36 %, 52, 0x0000000000000000
2026/09/12 05:40:44.064, 2190 MHz, 15.88 W, 36 %, 52, 0x0000000000000000
2026/09/12 05:40:44.264, 2190 MHz, 16.08 W, 36 %, 52, 0x0000000000000000
2026/09/12 05:40:44.465, 2190 MHz, 16.08 W, 36 %, 52, 0x0000000000000000
2026/09/12 05:40:44.665, 2190 MHz, 16.26 W, 27 %, 52, 0x0000000000000000
2026/09/12 05:40:44.865, 2190 MHz, 16.26 W, 27 %, 52, 0x0000000000000000
2026/09/12 05:40:45.065, 2190 MHz, 16.26 W, 27 %, 52, 0x0000000000000000
2026/09/12 05:40:45.266, 2190 MHz, 16.51 W, 27 %, 53, 0x0000000000000000
2026/09/12 05:40:45.466, 2190 MHz, 16.51 W, 27 %, 53, 0x0000000000000000
2026/09/12 05:40:45.666, 2190 MHz, 16.70 W, 34 %, 53, 0x0000000000000000
2026/09/12 05:40:45.866, 2190 MHz, 16.70 W, 34 %, 53, 0x0000000000000000
2026/09/12 05:40:46.066, 2190 MHz, 16.70 W, 34 %, 53, 0x0000000000000000
2026/09/12 05:40:46.266, 2190 MHz, 14.94 W, 34 %, 52, 0x0000000000000000
2026/09/12 05:40:46.467, 2190 MHz, 14.94 W, 34 %, 52, 0x0000000000000000
2026/09/12 05:40:46.667, 2190 MHz, 14.58 W, 29 %, 52, 0x0000000000000000
2026/09/12 05:40:46.867, 2190 MHz, 14.58 W, 29 %, 52, 0x0000000000000000
2026/09/12 05:40:47.067, 2190 MHz, 14.58 W, 29 %, 52, 0x0000000000000000
2026/09/12 05:40:47.267, 2190 MHz, 21.58 W, 29 %, 54, 0x0000000000000000
2026/09/12 05:40:47.468, 2190 MHz, 21.58 W, 29 %, 54, 0x0000000000000000
2026/09/12 05:40:47.668, 2190 MHz, 27.06 W, 90 %, 55, 0x0000000000000000
2026/09/12 05:40:47.868, 2190 MHz, 27.06 W, 90 %, 55, 0x0000000000000000
2026/09/12 05:40:48.068, 2190 MHz, 27.06 W, 90 %, 55, 0x0000000000000000
2026/09/12 05:40:48.269, 2190 MHz, 26.74 W, 90 %, 55, 0x0000000000000000
2026/09/12 05:40:48.469, 2190 MHz, 26.74 W, 90 %, 55, 0x0000000000000000
2026/09/12 05:40:48.670, 2190 MHz, 26.81 W, 83 %, 54, 0x0000000000000000
2026/09/12 05:40:48.870, 2190 MHz, 26.81 W, 83 %, 54, 0x0000000000000000
2026/09/12 05:40:49.070, 2190 MHz, 26.81 W, 83 %, 54, 0x0000000000000000
2026/09/12 05:40:49.270, 2190 MHz, 26.87 W, 83 %, 55, 0x0000000000000000
2026/09/12 05:40:49.471, 2190 MHz, 26.87 W, 83 %, 55, 0x0000000000000000
2026/09/12 05:40:49.671, 2190 MHz, 26.54 W, 80 %, 55, 0x0000000000000000
2026/09/12 05:40:49.871, 2190 MHz, 26.54 W, 80 %, 55, 0x0000000000000000
2026/09/12 05:40:50.071, 2190 MHz, 26.54 W, 80 %, 55, 0x0000000000000000
2026/09/12 05:40:50.272, 2190 MHz, 25.09 W, 80 %, 53, 0x0000000000000000
2026/09/12 05:40:50.472, 2190 MHz, 25.09 W, 80 %, 53, 0x0000000000000000
2026/09/12 05:40:50.672, 2190 MHz, 18.51 W, 14 %, 53, 0x0000000000000000
2026/09/12 05:40:50.872, 2190 MHz, 18.51 W, 14 %, 53, 0x0000000000000000
2026/09/12 05:40:51.072, 2190 MHz, 18.51 W, 14 %, 53, 0x0000000000000000
2026/09/12 05:40:51.273, 2190 MHz, 13.03 W, 14 %, 54, 0x0000000000000000
2026/09/12 05:40:51.473, 2190 MHz, 13.03 W, 14 %, 54, 0x0000000000000000
2026/09/12 05:40:51.673, 2190 MHz, 13.63 W, 22 %, 53, 0x0000000000000000
2026/09/12 05:40:51.873, 2190 MHz, 13.63 W, 22 %, 53, 0x0000000000000000
2026/09/12 05:40:52.073, 2190 MHz, 13.63 W, 22 %, 53, 0x0000000000000000
2026/09/12 05:40:52.273, 2190 MHz, 14.11 W, 22 %, 53, 0x0000000000000000
2026/09/12 05:40:52.474, 2190 MHz, 14.11 W, 22 %, 53, 0x0000000000000000
2026/09/12 05:40:52.674, 2190 MHz, 14.95 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:52.874, 2190 MHz, 14.95 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:53.074, 2190 MHz, 14.95 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:53.274, 2190 MHz, 15.24 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:53.475, 2190 MHz, 15.24 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:53.675, 2190 MHz, 15.29 W, 25 %, 53, 0x0000000000000000
2026/09/12 05:40:53.875, 2190 MHz, 15.29 W, 25 %, 53, 0x0000000000000000
2026/09/12 05:40:54.075, 2190 MHz, 15.29 W, 25 %, 53, 0x0000000000000000
2026/09/12 05:40:54.276, 2190 MHz, 16.10 W, 25 %, 53, 0x0000000000000000
2026/09/12 05:40:54.476, 2190 MHz, 16.10 W, 25 %, 53, 0x0000000000000000
2026/09/12 05:40:54.677, 2190 MHz, 16.24 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:54.877, 2190 MHz, 16.24 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:55.077, 2190 MHz, 16.24 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:55.277, 2190 MHz, 16.86 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:55.477, 2190 MHz, 16.86 W, 33 %, 53, 0x0000000000000000
