timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 05:49:11.148, 2190 MHz, 9.64 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:49:11.355, 2190 MHz, 9.65 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:49:11.555, 2190 MHz, 9.65 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:49:11.755, 2190 MHz, 10.49 W, 1 %, 51, 0x0000000000000000
2026/09/12 05:49:11.956, 2190 MHz, 10.49 W, 1 %, 51, 0x0000000000000000
2026/09/12 05:49:12.156, 2190 MHz, 10.49 W, 1 %, 51, 0x0000000000000000
2026/09/12 05:49:12.357, 2190 MHz, 13.84 W, 1 %, 52, 0x0000000000000000
2026/09/12 05:49:12.557, 2190 MHz, 13.84 W, 1 %, 52, 0x0000000000000000
2026/09/12 05:49:12.758, 2190 MHz, 17.26 W, 32 %, 54, 0x0000000000000000
2026/09/12 05:49:12.958, 2190 MHz, 17.26 W, 32 %, 54, 0x0000000000000000
2026/09/12 05:49:13.159, 2190 MHz, 17.26 W, 32 %, 54, 0x0000000000000000
2026/09/12 05:49:13.359, 2190 MHz, 17.72 W, 32 %, 52, 0x0000000000000000
2026/09/12 05:49:13.559, 2190 MHz, 17.72 W, 32 %, 52, 0x0000000000000000
2026/09/12 05:49:13.759, 2190 MHz, 16.84 W, 47 %, 52, 0x0000000000000000
2026/09/12 05:49:13.959, 2190 MHz, 16.84 W, 47 %, 52, 0x0000000000000000
2026/09/12 05:49:14.159, 2190 MHz, 16.84 W, 47 %, 52, 0x0000000000000000
2026/09/12 05:49:14.360, 2190 MHz, 17.45 W, 47 %, 54, 0x0000000000000000
2026/09/12 05:49:14.560, 2190 MHz, 17.45 W, 47 %, 54, 0x0000000000000000
2026/09/12 05:49:14.761, 2190 MHz, 17.38 W, 39 %, 52, 0x0000000000000000
2026/09/12 05:49:14.961, 2190 MHz, 17.38 W, 39 %, 52, 0x0000000000000000
2026/09/12 05:49:15.162, 2190 MHz, 17.38 W, 39 %, 52, 0x0000000000000000
2026/09/12 05:49:15.362, 2190 MHz, 17.06 W, 39 %, 54, 0x0000000000000000
2026/09/12 05:49:15.562, 2190 MHz, 17.06 W, 39 %, 54, 0x0000000000000000
2026/09/12 05:49:15.763, 2190 MHz, 16.97 W, 46 %, 52, 0x0000000000000000
2026/09/12 05:49:15.963, 2190 MHz, 16.97 W, 46 %, 52, 0x0000000000000000
2026/09/12 05:49:16.163, 2190 MHz, 16.97 W, 46 %, 52, 0x0000000000000000
2026/09/12 05:49:16.364, 2190 MHz, 16.90 W, 46 %, 52, 0x0000000000000000
2026/09/12 05:49:16.564, 2190 MHz, 16.90 W, 46 %, 52, 0x0000000000000000
2026/09/12 05:49:16.765, 2190 MHz, 17.18 W, 30 %, 54, 0x0000000000000000
2026/09/12 05:49:16.965, 2190 MHz, 17.18 W, 30 %, 54, 0x0000000000000000
2026/09/12 05:49:17.165, 2190 MHz, 17.18 W, 30 %, 54, 0x0000000000000000
2026/09/12 05:49:17.365, 2190 MHz, 16.94 W, 30 %, 54, 0x0000000000000000
2026/09/12 05:49:17.566, 2190 MHz, 16.94 W, 30 %, 54, 0x0000000000000000
2026/09/12 05:49:17.766, 2190 MHz, 15.27 W, 23 %, 52, 0x0000000000000000
2026/09/12 05:49:17.967, 2190 MHz, 15.27 W, 23 %, 52, 0x0000000000000000
2026/09/12 05:49:18.167, 2190 MHz, 15.27 W, 23 %, 52, 0x0000000000000000
2026/09/12 05:49:18.368, 2190 MHz, 13.49 W, 23 %, 52, 0x0000000000000000
2026/09/12 05:49:18.568, 2190 MHz, 13.49 W, 23 %, 52, 0x0000000000000000
2026/09/12 05:49:18.768, 2190 MHz, 13.04 W, 27 %, 52, 0x0000000000000000
2026/09/12 05:49:18.968, 2190 MHz, 13.04 W, 27 %, 52, 0x0000000000000000
2026/09/12 05:49:19.169, 2190 MHz, 13.04 W, 27 %, 52, 0x0000000000000000
2026/09/12 05:49:19.369, 2190 MHz, 13.16 W, 27 %, 52, 0x0000000000000000
2026/09/12 05:49:19.570, 2190 MHz, 13.16 W, 27 %, 52, 0x0000000000000000
2026/09/12 05:49:19.770, 2190 MHz, 13.25 W, 18 %, 52, 0x0000000000000000
2026/09/12 05:49:19.970, 2190 MHz, 13.25 W, 18 %, 52, 0x0000000000000000
2026/09/12 05:49:20.171, 2190 MHz, 13.25 W, 18 %, 52, 0x0000000000000000
2026/09/12 05:49:20.371, 2190 MHz, 13.43 W, 18 %, 52, 0x0000000000000000
