timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:19:42.311, 2190 MHz, 9.25 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:42.518, 2190 MHz, 9.25 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:42.718, 2190 MHz, 9.25 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:42.918, 2190 MHz, 9.31 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:43.119, 2190 MHz, 9.31 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:43.319, 2190 MHz, 9.28 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:43.520, 2190 MHz, 9.28 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:43.720, 2190 MHz, 9.28 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:43.920, 2190 MHz, 9.28 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:44.121, 2190 MHz, 9.28 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:44.321, 2190 MHz, 9.31 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:44.521, 2190 MHz, 9.31 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:44.722, 2190 MHz, 9.31 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:44.922, 2190 MHz, 9.24 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:45.122, 2190 MHz, 9.24 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:45.322, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:45.523, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:45.724, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:45.925, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:46.125, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:46.326, 2190 MHz, 9.21 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:46.526, 2190 MHz, 9.21 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:46.727, 2190 MHz, 9.21 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:46.928, 2190 MHz, 9.21 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:47.128, 2190 MHz, 9.21 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:47.328, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:47.529, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:47.730, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:47.930, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:48.131, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:48.331, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:48.532, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:48.732, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:48.932, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:49.133, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:49.333, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:49.534, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:49.734, 2190 MHz, 9.19 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:49.935, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:50.135, 2190 MHz, 9.20 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:50.336, 2190 MHz, 9.23 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:50.536, 2190 MHz, 9.23 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:50.737, 2190 MHz, 9.23 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:50.937, 2190 MHz, 9.40 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.137, 2190 MHz, 9.40 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.338, 2190 MHz, 9.53 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.538, 2190 MHz, 9.53 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.739, 2190 MHz, 9.53 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.939, 2190 MHz, 9.48 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:52.139, 2190 MHz, 9.48 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:52.340, 2190 MHz, 9.52 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:52.540, 2190 MHz, 9.52 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:52.740, 2190 MHz, 9.52 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:52.940, 2190 MHz, 9.68 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:53.140, 2190 MHz, 9.68 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:53.340, 2190 MHz, 9.66 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:53.541, 2190 MHz, 9.66 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:53.741, 2190 MHz, 9.66 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:53.941, 2190 MHz, 9.69 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:54.141, 2190 MHz, 9.69 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:54.341, 2190 MHz, 9.66 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:54.542, 2190 MHz, 9.66 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:54.742, 2190 MHz, 9.66 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:54.943, 2190 MHz, 10.95 W, 27 %, 49, 0x0000000000000000
2026/09/12 04:19:55.143, 2190 MHz, 10.95 W, 27 %, 49, 0x0000000000000000
