timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:28:39.650, 2184 MHz, 22.98 W, 54 %, 53, 0x0000000000000000
2026/09/12 04:28:39.858, 2184 MHz, 22.98 W, 54 %, 53, 0x0000000000000000
2026/09/12 04:28:40.058, 2184 MHz, 23.61 W, 54 %, 54, 0x0000000000000000
2026/09/12 04:28:40.258, 2184 MHz, 23.61 W, 54 %, 54, 0x0000000000000000
2026/09/12 04:28:40.458, 2184 MHz, 22.39 W, 72 %, 54, 0x0000000000000000
2026/09/12 04:28:40.659, 2184 MHz, 22.39 W, 72 %, 54, 0x0000000000000000
2026/09/12 04:28:40.859, 2184 MHz, 22.39 W, 72 %, 54, 0x0000000000000000
2026/09/12 04:28:41.059, 2184 MHz, 22.23 W, 72 %, 53, 0x0000000000000000
2026/09/12 04:28:41.259, 2184 MHz, 22.23 W, 72 %, 53, 0x0000000000000000
2026/09/12 04:28:41.460, 2177 MHz, 21.97 W, 95 %, 54, 0x0000000000000000
2026/09/12 04:28:41.660, 2177 MHz, 21.97 W, 95 %, 54, 0x0000000000000000
2026/09/12 04:28:41.860, 2177 MHz, 21.97 W, 95 %, 54, 0x0000000000000000
2026/09/12 04:28:42.061, 2184 MHz, 29.35 W, 95 %, 60, 0x0000000000000000
2026/09/12 04:28:42.261, 2184 MHz, 29.35 W, 95 %, 60, 0x0000000000000000
2026/09/12 04:28:42.461, 2184 MHz, 33.74 W, 36 %, 54, 0x0000000000000000
2026/09/12 04:28:42.662, 2184 MHz, 33.74 W, 36 %, 54, 0x0000000000000000
2026/09/12 04:28:42.862, 2184 MHz, 33.74 W, 36 %, 54, 0x0000000000000000
2026/09/12 04:28:43.063, 2184 MHz, 30.18 W, 36 %, 61, 0x0000000000000000
2026/09/12 04:28:43.263, 2184 MHz, 30.18 W, 36 %, 61, 0x0000000000000000
2026/09/12 04:28:43.463, 2177 MHz, 22.14 W, 48 %, 53, 0x0000000000000000
2026/09/12 04:28:43.663, 2177 MHz, 22.14 W, 48 %, 53, 0x0000000000000000
2026/09/12 04:28:43.864, 2177 MHz, 22.14 W, 48 %, 53, 0x0000000000000000
2026/09/12 04:28:44.064, 2184 MHz, 17.25 W, 48 %, 54, 0x0000000000000000
2026/09/12 04:28:44.264, 2184 MHz, 17.25 W, 48 %, 54, 0x0000000000000000
2026/09/12 04:28:44.465, 2184 MHz, 20.32 W, 63 %, 54, 0x0000000000000000
2026/09/12 04:28:44.665, 2184 MHz, 20.32 W, 63 %, 54, 0x0000000000000000
2026/09/12 04:28:44.866, 2184 MHz, 20.32 W, 63 %, 54, 0x0000000000000000
