timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:40:32.901, 2190 MHz, 10.18 W, 0 %, 56, 0x0000000000000000
2026/09/12 04:40:33.108, 2190 MHz, 10.21 W, 0 %, 56, 0x0000000000000000
2026/09/12 04:40:33.308, 2190 MHz, 10.21 W, 0 %, 56, 0x0000000000000000
2026/09/12 04:40:33.508, 2190 MHz, 10.21 W, 0 %, 56, 0x0000000000000000
2026/09/12 04:40:33.708, 2190 MHz, 10.54 W, 0 %, 56, 0x0000000000000000
2026/09/12 04:40:33.908, 2190 MHz, 10.54 W, 0 %, 56, 0x0000000000000000
2026/09/12 04:40:34.108, 2190 MHz, 11.02 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:34.308, 2190 MHz, 11.02 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:34.509, 2190 MHz, 11.02 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:34.709, 2190 MHz, 11.45 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:34.909, 2190 MHz, 11.45 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:35.109, 2190 MHz, 11.56 W, 6 %, 56, 0x0000000000000000
2026/09/12 04:40:35.309, 2190 MHz, 11.56 W, 6 %, 56, 0x0000000000000000
2026/09/12 04:40:35.510, 2190 MHz, 11.56 W, 6 %, 56, 0x0000000000000000
2026/09/12 04:40:35.710, 2190 MHz, 11.59 W, 6 %, 56, 0x0000000000000000
2026/09/12 04:40:35.910, 2190 MHz, 11.59 W, 6 %, 56, 0x0000000000000000
2026/09/12 04:40:36.110, 2190 MHz, 11.43 W, 6 %, 57, 0x0000000000000000
2026/09/12 04:40:36.310, 2190 MHz, 11.43 W, 6 %, 57, 0x0000000000000000
2026/09/12 04:40:36.510, 2190 MHz, 11.43 W, 6 %, 57, 0x0000000000000000
2026/09/12 04:40:36.710, 2190 MHz, 11.46 W, 6 %, 56, 0x0000000000000000
2026/09/12 04:40:36.911, 2190 MHz, 11.46 W, 6 %, 56, 0x0000000000000000
2026/09/12 04:40:37.111, 2190 MHz, 11.65 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:37.311, 2190 MHz, 11.65 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:37.511, 2190 MHz, 11.65 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:37.711, 2190 MHz, 11.82 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:37.911, 2190 MHz, 11.82 W, 5 %, 56, 0x0000000000000000
2026/09/12 04:40:38.112, 2190 MHz, 12.50 W, 21 %, 56, 0x0000000000000000
2026/09/12 04:40:38.312, 2190 MHz, 12.50 W, 21 %, 56, 0x0000000000000000
2026/09/12 04:40:38.512, 2190 MHz, 12.50 W, 21 %, 56, 0x0000000000000000
2026/09/12 04:40:38.712, 2190 MHz, 13.01 W, 21 %, 56, 0x0000000000000000
2026/09/12 04:40:38.912, 2190 MHz, 13.01 W, 21 %, 56, 0x0000000000000000
2026/09/12 04:40:39.112, 2190 MHz, 12.78 W, 11 %, 56, 0x0000000000000000
2026/09/12 04:40:39.312, 2190 MHz, 12.78 W, 11 %, 56, 0x0000000000000000
2026/09/12 04:40:39.512, 2190 MHz, 12.78 W, 11 %, 56, 0x0000000000000000
2026/09/12 04:40:39.712, 2190 MHz, 13.09 W, 11 %, 56, 0x0000000000000000
2026/09/12 04:40:39.913, 2190 MHz, 13.09 W, 11 %, 56, 0x0000000000000000
2026/09/12 04:40:40.113, 2190 MHz, 13.51 W, 17 %, 56, 0x0000000000000000
2026/09/12 04:40:40.313, 2190 MHz, 13.51 W, 17 %, 56, 0x0000000000000000
2026/09/12 04:40:40.513, 2190 MHz, 13.51 W, 17 %, 56, 0x0000000000000000
2026/09/12 04:40:40.713, 2190 MHz, 13.60 W, 17 %, 56, 0x0000000000000000
2026/09/12 04:40:40.913, 2190 MHz, 13.60 W, 17 %, 56, 0x0000000000000000
2026/09/12 04:40:41.114, 2190 MHz, 13.95 W, 18 %, 56, 0x0000000000000000
2026/09/12 04:40:41.314, 2190 MHz, 13.95 W, 18 %, 56, 0x0000000000000000
2026/09/12 04:40:41.514, 2190 MHz, 13.95 W, 18 %, 56, 0x0000000000000000
2026/09/12 04:40:41.714, 2190 MHz, 14.33 W, 18 %, 57, 0x0000000000000000
