timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 05:25:06.920, 2177 MHz, 9.80 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:25:07.126, 2177 MHz, 9.81 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:25:07.326, 2177 MHz, 9.81 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:25:07.527, 2177 MHz, 9.81 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:25:07.727, 2177 MHz, 9.81 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:25:07.927, 2177 MHz, 9.81 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:25:08.128, 2177 MHz, 10.28 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:25:08.328, 2177 MHz, 10.28 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:25:08.528, 2177 MHz, 10.94 W, 4 %, 51, 0x0000000000000000
2026/09/12 05:25:08.728, 2177 MHz, 10.94 W, 4 %, 51, 0x0000000000000000
2026/09/12 05:25:08.928, 2177 MHz, 10.94 W, 4 %, 51, 0x0000000000000000
2026/09/12 05:25:09.129, 2177 MHz, 11.02 W, 4 %, 51, 0x0000000000000000
2026/09/12 05:25:09.329, 2177 MHz, 11.02 W, 4 %, 51, 0x0000000000000000
2026/09/12 05:25:09.529, 2177 MHz, 11.08 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:09.729, 2177 MHz, 11.08 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:09.930, 2177 MHz, 11.08 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:10.130, 2177 MHz, 11.00 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:10.330, 2177 MHz, 11.00 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:10.531, 2177 MHz, 10.92 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:10.731, 2177 MHz, 10.92 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:10.931, 2177 MHz, 10.92 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:11.131, 2177 MHz, 10.95 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:11.332, 2177 MHz, 10.95 W, 5 %, 51, 0x0000000000000000
2026/09/12 05:25:11.532, 2177 MHz, 11.12 W, 2 %, 51, 0x0000000000000000
