timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:09:23.285, 2177 MHz, 9.48 W, 0 %, 45, 0x0000000000000000
2026/09/12 04:09:23.492, 2177 MHz, 9.48 W, 0 %, 45, 0x0000000000000000
2026/09/12 04:09:23.693, 2177 MHz, 9.61 W, 0 %, 45, 0x0000000000000000
2026/09/12 04:09:23.893, 2177 MHz, 9.61 W, 0 %, 45, 0x0000000000000000
2026/09/12 04:09:24.093, 2177 MHz, 9.61 W, 0 %, 45, 0x0000000000000000
2026/09/12 04:09:24.294, 2177 MHz, 9.73 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:24.494, 2177 MHz, 9.73 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:24.694, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:24.894, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:25.095, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:25.295, 2177 MHz, 9.76 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:25.495, 2177 MHz, 9.76 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:25.696, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:25.896, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:26.097, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:26.297, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:26.497, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:26.697, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:26.897, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:27.098, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:27.298, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:27.498, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:27.698, 2177 MHz, 9.97 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:27.898, 2177 MHz, 9.97 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:28.099, 2177 MHz, 9.97 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:28.299, 2177 MHz, 10.00 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:28.499, 2177 MHz, 10.00 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:28.699, 2177 MHz, 9.81 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:28.899, 2177 MHz, 9.81 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:29.099, 2177 MHz, 9.81 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:29.299, 2177 MHz, 9.80 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:29.500, 2177 MHz, 9.80 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:29.700, 2177 MHz, 9.81 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:29.900, 2177 MHz, 9.81 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:30.100, 2177 MHz, 9.81 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:30.301, 2177 MHz, 9.90 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:30.501, 2177 MHz, 9.90 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:30.702, 2177 MHz, 9.88 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:30.902, 2177 MHz, 9.88 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:31.102, 2177 MHz, 9.88 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:31.303, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:31.503, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:31.704, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:31.904, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:32.104, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:32.304, 2177 MHz, 9.78 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:32.504, 2177 MHz, 9.78 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:32.705, 2177 MHz, 9.76 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:32.905, 2177 MHz, 9.76 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:33.105, 2177 MHz, 9.76 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:33.306, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:33.506, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:33.706, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:33.907, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:34.107, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:34.308, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:34.508, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:34.708, 2177 MHz, 9.68 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:34.908, 2177 MHz, 9.68 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:35.108, 2177 MHz, 9.68 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:35.309, 2177 MHz, 9.71 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:35.509, 2177 MHz, 9.71 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:35.709, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:35.910, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:36.110, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:36.310, 2177 MHz, 9.66 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:36.510, 2177 MHz, 9.66 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:36.711, 2177 MHz, 9.68 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:36.911, 2177 MHz, 9.68 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:37.111, 2177 MHz, 9.68 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:37.312, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:37.512, 2177 MHz, 9.74 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:37.712, 2177 MHz, 9.73 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:37.912, 2177 MHz, 9.73 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:38.113, 2177 MHz, 9.73 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:38.313, 2177 MHz, 9.72 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:38.513, 2177 MHz, 9.72 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:38.713, 2177 MHz, 9.71 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:38.914, 2177 MHz, 9.71 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:39.114, 2177 MHz, 9.71 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:39.314, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:39.514, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:39.715, 2177 MHz, 9.73 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:39.916, 2177 MHz, 9.73 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:40.116, 2177 MHz, 9.73 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:40.316, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:40.516, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:40.717, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:40.917, 2177 MHz, 9.75 W, 2 %, 45, 0x0000000000000000
