timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:22:31.330, 2190 MHz, 9.78 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:31.537, 2190 MHz, 9.78 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:31.737, 2190 MHz, 9.78 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:31.937, 2190 MHz, 9.88 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:22:32.137, 2190 MHz, 9.88 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:22:32.337, 2190 MHz, 10.51 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:22:32.538, 2190 MHz, 10.51 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:22:32.738, 2190 MHz, 10.51 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:22:32.938, 2190 MHz, 11.10 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:33.138, 2190 MHz, 11.10 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:33.338, 2190 MHz, 11.26 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:33.538, 2190 MHz, 11.26 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:33.738, 2190 MHz, 11.26 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:33.938, 2190 MHz, 11.34 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:34.139, 2190 MHz, 11.34 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:34.339, 2190 MHz, 11.13 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:34.539, 2190 MHz, 11.13 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:34.739, 2190 MHz, 11.13 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:34.939, 2190 MHz, 11.13 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:35.139, 2190 MHz, 11.13 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:35.339, 2190 MHz, 11.17 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:35.539, 2190 MHz, 11.17 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:35.740, 2190 MHz, 11.17 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:35.940, 2190 MHz, 11.53 W, 18 %, 52, 0x0000000000000000
2026/09/12 04:22:36.140, 2190 MHz, 11.53 W, 18 %, 52, 0x0000000000000000
2026/09/12 04:22:36.340, 2190 MHz, 12.14 W, 18 %, 53, 0x0000000000000000
