timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:35:14.701, 2177 MHz, 13.28 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:14.909, 2177 MHz, 13.28 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:15.109, 2177 MHz, 13.43 W, 96 %, 54, 0x0000000000000000
2026/09/12 04:35:15.309, 2177 MHz, 13.43 W, 96 %, 54, 0x0000000000000000
2026/09/12 04:35:15.510, 2177 MHz, 13.26 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:15.710, 2177 MHz, 13.26 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:15.910, 2177 MHz, 13.26 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:16.110, 2177 MHz, 13.28 W, 96 %, 53, 0x0000000000000000
2026/09/12 04:35:16.310, 2177 MHz, 13.28 W, 96 %, 53, 0x0000000000000000
2026/09/12 04:35:16.510, 2177 MHz, 13.34 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:16.711, 2177 MHz, 13.34 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:16.911, 2177 MHz, 13.34 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:17.111, 2177 MHz, 13.30 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:17.311, 2177 MHz, 13.30 W, 96 %, 52, 0x0000000000000000
2026/09/12 04:35:17.512, 2177 MHz, 13.33 W, 61 %, 52, 0x0000000000000000
2026/09/12 04:35:17.712, 2177 MHz, 13.33 W, 61 %, 52, 0x0000000000000000
2026/09/12 04:35:17.912, 2177 MHz, 13.33 W, 61 %, 52, 0x0000000000000000
2026/09/12 04:35:18.112, 2177 MHz, 13.33 W, 61 %, 52, 0x0000000000000000
2026/09/12 04:35:18.313, 2177 MHz, 13.33 W, 61 %, 52, 0x0000000000000000
2026/09/12 04:35:18.513, 2177 MHz, 12.86 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:18.713, 2177 MHz, 12.86 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:18.914, 2177 MHz, 12.86 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:19.114, 2177 MHz, 11.29 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:19.314, 2177 MHz, 11.29 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:19.515, 2177 MHz, 11.95 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:19.716, 2177 MHz, 11.95 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:19.916, 2177 MHz, 11.95 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:20.116, 2177 MHz, 13.19 W, 0 %, 54, 0x0000000000000000
2026/09/12 04:35:20.317, 2177 MHz, 13.19 W, 0 %, 54, 0x0000000000000000
2026/09/12 04:35:20.517, 2177 MHz, 12.70 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:20.717, 2177 MHz, 12.70 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:20.917, 2177 MHz, 12.70 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:21.117, 2177 MHz, 13.10 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:21.317, 2177 MHz, 13.10 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:21.517, 2177 MHz, 12.64 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:21.718, 2177 MHz, 12.64 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:21.918, 2177 MHz, 12.64 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:22.118, 2177 MHz, 10.77 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:22.318, 2177 MHz, 10.77 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:22.519, 2177 MHz, 10.76 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:22.719, 2177 MHz, 10.76 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:22.920, 2177 MHz, 10.76 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:23.120, 2177 MHz, 11.62 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:23.320, 2177 MHz, 11.62 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:23.521, 2177 MHz, 12.05 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:23.721, 2177 MHz, 12.05 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:23.921, 2177 MHz, 12.05 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:24.121, 2177 MHz, 11.15 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:24.321, 2177 MHz, 11.15 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:24.522, 2177 MHz, 10.01 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:24.722, 2177 MHz, 10.01 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:24.922, 2177 MHz, 10.01 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:25.123, 2177 MHz, 10.02 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:25.323, 2177 MHz, 10.02 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:25.524, 2177 MHz, 13.87 W, 48 %, 53, 0x0000000000000000
2026/09/12 04:35:25.724, 2177 MHz, 13.87 W, 48 %, 53, 0x0000000000000000
2026/09/12 04:35:25.925, 2177 MHz, 13.87 W, 48 %, 53, 0x0000000000000000
2026/09/12 04:35:26.125, 2184 MHz, 19.01 W, 48 %, 55, 0x0000000000000000
2026/09/12 04:35:26.325, 2184 MHz, 19.01 W, 48 %, 55, 0x0000000000000000
2026/09/12 04:35:26.526, 2184 MHz, 20.24 W, 63 %, 54, 0x0000000000000000
2026/09/12 04:35:26.727, 2184 MHz, 20.24 W, 63 %, 54, 0x0000000000000000
2026/09/12 04:35:26.927, 2184 MHz, 20.24 W, 63 %, 54, 0x0000000000000000
2026/09/12 04:35:27.127, 2184 MHz, 18.67 W, 63 %, 53, 0x0000000000000000
2026/09/12 04:35:27.328, 2184 MHz, 18.67 W, 63 %, 53, 0x0000000000000000
2026/09/12 04:35:27.529, 2177 MHz, 19.86 W, 0 %, 53, 0x0000000000000000
2026/09/12 04:35:27.729, 2177 MHz, 19.86 W, 0 %, 53, 0x0000000000000000
