timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 05:40:29.126, 2177 MHz, 9.83 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:40:29.333, 2177 MHz, 9.82 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:40:29.533, 2177 MHz, 9.82 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:40:29.733, 2177 MHz, 9.82 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:40:29.933, 2177 MHz, 9.77 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:40:30.133, 2177 MHz, 9.77 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:40:30.333, 2177 MHz, 12.01 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:30.534, 2177 MHz, 12.01 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:30.734, 2177 MHz, 12.01 W, 0 %, 51, 0x0000000000000000
2026/09/12 05:40:30.935, 2177 MHz, 16.42 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:31.135, 2177 MHz, 16.42 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:31.335, 2177 MHz, 18.40 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:31.535, 2177 MHz, 18.40 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:31.735, 2177 MHz, 18.40 W, 33 %, 53, 0x0000000000000000
2026/09/12 05:40:31.936, 2177 MHz, 18.15 W, 11 %, 52, 0x0000000000000000
2026/09/12 05:40:32.136, 2177 MHz, 18.15 W, 11 %, 52, 0x0000000000000000
2026/09/12 05:40:32.336, 2177 MHz, 17.63 W, 11 %, 51, 0x0000000000000000
2026/09/12 05:40:32.536, 2177 MHz, 17.63 W, 11 %, 51, 0x0000000000000000
2026/09/12 05:40:32.736, 2177 MHz, 17.63 W, 11 %, 51, 0x0000000000000000
2026/09/12 05:40:32.937, 2177 MHz, 17.89 W, 48 %, 52, 0x0000000000000000
2026/09/12 05:40:33.137, 2177 MHz, 17.89 W, 48 %, 52, 0x0000000000000000
2026/09/12 05:40:33.337, 2177 MHz, 18.25 W, 48 %, 53, 0x0000000000000000
2026/09/12 05:40:33.538, 2177 MHz, 18.25 W, 48 %, 53, 0x0000000000000000
2026/09/12 05:40:33.738, 2177 MHz, 18.25 W, 48 %, 53, 0x0000000000000000
2026/09/12 05:40:33.938, 2177 MHz, 17.85 W, 30 %, 51, 0x0000000000000000
2026/09/12 05:40:34.138, 2177 MHz, 17.85 W, 30 %, 51, 0x0000000000000000
2026/09/12 05:40:34.338, 2177 MHz, 17.24 W, 30 %, 53, 0x0000000000000000
2026/09/12 05:40:34.539, 2177 MHz, 17.24 W, 30 %, 53, 0x0000000000000000
2026/09/12 05:40:34.739, 2177 MHz, 17.24 W, 30 %, 53, 0x0000000000000000
2026/09/12 05:40:34.939, 2177 MHz, 17.38 W, 51 %, 51, 0x0000000000000000
2026/09/12 05:40:35.140, 2177 MHz, 17.38 W, 51 %, 51, 0x0000000000000000
2026/09/12 05:40:35.340, 2177 MHz, 17.08 W, 51 %, 51, 0x0000000000000000
2026/09/12 05:40:35.540, 2177 MHz, 17.08 W, 51 %, 51, 0x0000000000000000
2026/09/12 05:40:35.740, 2177 MHz, 17.08 W, 51 %, 51, 0x0000000000000000
2026/09/12 05:40:35.940, 2177 MHz, 16.57 W, 17 %, 52, 0x0000000000000000
2026/09/12 05:40:36.140, 2177 MHz, 16.57 W, 17 %, 52, 0x0000000000000000
2026/09/12 05:40:36.341, 2177 MHz, 14.36 W, 17 %, 51, 0x0000000000000000
2026/09/12 05:40:36.541, 2177 MHz, 14.36 W, 17 %, 51, 0x0000000000000000
2026/09/12 05:40:36.741, 2177 MHz, 14.36 W, 17 %, 51, 0x0000000000000000
2026/09/12 05:40:36.941, 2177 MHz, 12.74 W, 17 %, 51, 0x0000000000000000
2026/09/12 05:40:37.141, 2177 MHz, 12.74 W, 17 %, 51, 0x0000000000000000
2026/09/12 05:40:37.341, 2177 MHz, 12.91 W, 17 %, 52, 0x0000000000000000
2026/09/12 05:40:37.541, 2177 MHz, 12.91 W, 17 %, 52, 0x0000000000000000
2026/09/12 05:40:37.741, 2177 MHz, 12.91 W, 17 %, 52, 0x0000000000000000
2026/09/12 05:40:37.942, 2177 MHz, 13.06 W, 21 %, 51, 0x0000000000000000
2026/09/12 05:40:38.142, 2177 MHz, 13.06 W, 21 %, 51, 0x0000000000000000
2026/09/12 05:40:38.342, 2177 MHz, 13.09 W, 21 %, 51, 0x0000000000000000
2026/09/12 05:40:38.542, 2177 MHz, 13.09 W, 21 %, 51, 0x0000000000000000
