timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 06:00:17.195, 2177 MHz, 9.82 W, 0 %, 50, 0x0000000000000000
2026/09/12 06:00:17.402, 2177 MHz, 9.82 W, 0 %, 50, 0x0000000000000000
2026/09/12 06:00:17.602, 2177 MHz, 9.80 W, 0 %, 50, 0x0000000000000000
2026/09/12 06:00:17.803, 2177 MHz, 9.80 W, 0 %, 50, 0x0000000000000000
2026/09/12 06:00:18.003, 2177 MHz, 9.80 W, 0 %, 50, 0x0000000000000000
2026/09/12 06:00:18.204, 2177 MHz, 9.74 W, 0 %, 50, 0x0000000000000000
2026/09/12 06:00:18.404, 2177 MHz, 9.74 W, 0 %, 50, 0x0000000000000000
2026/09/12 06:00:18.604, 2177 MHz, 11.90 W, 0 %, 51, 0x0000000000000000
2026/09/12 06:00:18.804, 2177 MHz, 11.90 W, 0 %, 51, 0x0000000000000000
2026/09/12 06:00:19.005, 2177 MHz, 11.90 W, 0 %, 51, 0x0000000000000000
2026/09/12 06:00:19.205, 2177 MHz, 16.01 W, 47 %, 53, 0x0000000000000000
2026/09/12 06:00:19.405, 2177 MHz, 16.01 W, 47 %, 53, 0x0000000000000000
2026/09/12 06:00:19.606, 2177 MHz, 17.77 W, 47 %, 53, 0x0000000000000000
2026/09/12 06:00:19.806, 2177 MHz, 17.77 W, 47 %, 53, 0x0000000000000000
2026/09/12 06:00:20.006, 2177 MHz, 17.77 W, 47 %, 53, 0x0000000000000000
2026/09/12 06:00:20.206, 2177 MHz, 17.04 W, 21 %, 51, 0x0000000000000000
2026/09/12 06:00:20.407, 2177 MHz, 17.04 W, 21 %, 51, 0x0000000000000000
2026/09/12 06:00:20.607, 2177 MHz, 17.09 W, 21 %, 53, 0x0000000000000000
2026/09/12 06:00:20.808, 2177 MHz, 17.09 W, 21 %, 53, 0x0000000000000000
2026/09/12 06:00:21.009, 2177 MHz, 17.09 W, 21 %, 53, 0x0000000000000000
2026/09/12 06:00:21.209, 2177 MHz, 17.57 W, 13 %, 51, 0x0000000000000000
2026/09/12 06:00:21.409, 2177 MHz, 17.57 W, 13 %, 51, 0x0000000000000000
2026/09/12 06:00:21.610, 2177 MHz, 16.92 W, 13 %, 51, 0x0000000000000000
2026/09/12 06:00:21.810, 2177 MHz, 16.92 W, 13 %, 51, 0x0000000000000000
2026/09/12 06:00:22.010, 2177 MHz, 16.92 W, 13 %, 51, 0x0000000000000000
2026/09/12 06:00:22.211, 2177 MHz, 16.98 W, 9 %, 52, 0x0000000000000000
2026/09/12 06:00:22.411, 2177 MHz, 16.98 W, 9 %, 52, 0x0000000000000000
2026/09/12 06:00:22.611, 2177 MHz, 17.04 W, 9 %, 52, 0x0000000000000000
2026/09/12 06:00:22.812, 2177 MHz, 17.04 W, 9 %, 52, 0x0000000000000000
2026/09/12 06:00:23.012, 2177 MHz, 17.04 W, 9 %, 52, 0x0000000000000000
2026/09/12 06:00:23.212, 2177 MHz, 16.60 W, 34 %, 51, 0x0000000000000000
2026/09/12 06:00:23.413, 2177 MHz, 16.60 W, 34 %, 51, 0x0000000000000000
2026/09/12 06:00:23.613, 2177 MHz, 16.97 W, 34 %, 51, 0x0000000000000000
2026/09/12 06:00:23.813, 2177 MHz, 16.97 W, 34 %, 51, 0x0000000000000000
2026/09/12 06:00:24.013, 2177 MHz, 16.97 W, 34 %, 51, 0x0000000000000000
2026/09/12 06:00:24.214, 2177 MHz, 16.76 W, 29 %, 52, 0x0000000000000000
2026/09/12 06:00:24.414, 2177 MHz, 16.76 W, 29 %, 52, 0x0000000000000000
2026/09/12 06:00:24.614, 2177 MHz, 14.63 W, 29 %, 51, 0x0000000000000000
2026/09/12 06:00:24.815, 2177 MHz, 14.63 W, 29 %, 51, 0x0000000000000000
2026/09/12 06:00:25.015, 2177 MHz, 14.63 W, 29 %, 51, 0x0000000000000000
2026/09/12 06:00:25.215, 2177 MHz, 12.84 W, 26 %, 51, 0x0000000000000000
2026/09/12 06:00:25.415, 2177 MHz, 12.84 W, 26 %, 51, 0x0000000000000000
2026/09/12 06:00:25.616, 2177 MHz, 13.05 W, 26 %, 51, 0x0000000000000000
2026/09/12 06:00:25.816, 2177 MHz, 13.05 W, 26 %, 51, 0x0000000000000000
2026/09/12 06:00:26.016, 2177 MHz, 13.05 W, 26 %, 51, 0x0000000000000000
2026/09/12 06:00:26.217, 2177 MHz, 13.23 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:26.417, 2177 MHz, 13.23 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:26.617, 2177 MHz, 13.32 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:26.818, 2177 MHz, 13.32 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:27.018, 2177 MHz, 13.32 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:27.218, 2177 MHz, 13.52 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:27.419, 2177 MHz, 13.52 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:27.619, 2177 MHz, 13.66 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:27.819, 2177 MHz, 13.66 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:28.019, 2177 MHz, 13.66 W, 24 %, 51, 0x0000000000000000
2026/09/12 06:00:28.220, 2177 MHz, 14.24 W, 33 %, 52, 0x0000000000000000
2026/09/12 06:00:28.420, 2177 MHz, 14.24 W, 33 %, 52, 0x0000000000000000
2026/09/12 06:00:28.621, 2177 MHz, 14.12 W, 33 %, 51, 0x0000000000000000
2026/09/12 06:00:28.821, 2177 MHz, 14.12 W, 33 %, 51, 0x0000000000000000
2026/09/12 06:00:29.021, 2177 MHz, 14.12 W, 33 %, 51, 0x0000000000000000
2026/09/12 06:00:29.221, 2177 MHz, 13.36 W, 29 %, 52, 0x0000000000000000
2026/09/12 06:00:29.422, 2177 MHz, 13.36 W, 29 %, 52, 0x0000000000000000
2026/09/12 06:00:29.622, 2177 MHz, 13.75 W, 29 %, 51, 0x0000000000000000
2026/09/12 06:00:29.822, 2177 MHz, 13.75 W, 29 %, 51, 0x0000000000000000
