timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:19:41.971, 2177 MHz, 9.86 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:42.178, 2177 MHz, 9.86 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:42.378, 2177 MHz, 9.88 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:42.579, 2177 MHz, 9.88 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:42.779, 2177 MHz, 9.88 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:42.979, 2177 MHz, 9.90 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:43.179, 2177 MHz, 9.90 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:43.379, 2177 MHz, 9.91 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:43.580, 2177 MHz, 9.91 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:43.780, 2177 MHz, 9.91 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:43.980, 2177 MHz, 9.90 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:44.180, 2177 MHz, 9.90 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:44.380, 2177 MHz, 9.89 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:44.580, 2177 MHz, 9.89 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:44.781, 2177 MHz, 9.89 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:44.981, 2177 MHz, 9.85 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:45.181, 2177 MHz, 9.85 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:45.381, 2177 MHz, 9.85 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:45.582, 2177 MHz, 9.85 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:45.782, 2177 MHz, 9.85 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:45.982, 2177 MHz, 9.86 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:46.182, 2177 MHz, 9.86 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:46.383, 2177 MHz, 9.82 W, 1 %, 47, 0x0000000000000000
2026/09/12 04:19:46.583, 2177 MHz, 9.82 W, 1 %, 47, 0x0000000000000000
2026/09/12 04:19:46.784, 2177 MHz, 9.82 W, 1 %, 47, 0x0000000000000000
2026/09/12 04:19:46.984, 2177 MHz, 10.43 W, 1 %, 48, 0x0000000000000000
2026/09/12 04:19:47.184, 2177 MHz, 10.43 W, 1 %, 48, 0x0000000000000000
2026/09/12 04:19:47.384, 2177 MHz, 10.52 W, 1 %, 47, 0x0000000000000000
2026/09/12 04:19:47.585, 2177 MHz, 10.52 W, 1 %, 47, 0x0000000000000000
2026/09/12 04:19:47.785, 2177 MHz, 10.52 W, 1 %, 47, 0x0000000000000000
2026/09/12 04:19:47.985, 2177 MHz, 9.91 W, 1 %, 47, 0x0000000000000000
2026/09/12 04:19:48.185, 2177 MHz, 9.91 W, 1 %, 47, 0x0000000000000000
2026/09/12 04:19:48.386, 2177 MHz, 9.88 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:48.586, 2177 MHz, 9.88 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:48.786, 2177 MHz, 9.88 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:48.986, 2177 MHz, 9.89 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:49.187, 2177 MHz, 9.89 W, 2 %, 47, 0x0000000000000000
2026/09/12 04:19:49.387, 2177 MHz, 9.91 W, 2 %, 48, 0x0000000000000000
2026/09/12 04:19:49.587, 2177 MHz, 9.91 W, 2 %, 48, 0x0000000000000000
2026/09/12 04:19:49.787, 2177 MHz, 9.91 W, 2 %, 48, 0x0000000000000000
2026/09/12 04:19:49.988, 2177 MHz, 9.93 W, 2 %, 48, 0x0000000000000000
2026/09/12 04:19:50.188, 2177 MHz, 9.93 W, 2 %, 48, 0x0000000000000000
2026/09/12 04:19:50.388, 2177 MHz, 9.85 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:50.588, 2177 MHz, 9.85 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:50.789, 2177 MHz, 9.85 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:50.989, 2177 MHz, 9.79 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.189, 2177 MHz, 9.79 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.389, 2177 MHz, 9.81 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.590, 2177 MHz, 9.81 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.790, 2177 MHz, 9.81 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:51.990, 2177 MHz, 9.75 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:52.191, 2177 MHz, 9.75 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:52.391, 2177 MHz, 9.78 W, 0 %, 48, 0x0000000000000000
2026/09/12 04:19:52.591, 2177 MHz, 9.78 W, 0 %, 48, 0x0000000000000000
