timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 03:54:10.149, 2177 MHz, 9.31 W, 0 %, 44, 0x0000000000000000
2026/09/12 03:54:10.356, 2177 MHz, 9.31 W, 0 %, 44, 0x0000000000000000
2026/09/12 03:54:10.556, 2177 MHz, 9.36 W, 0 %, 44, 0x0000000000000000
2026/09/12 03:54:10.757, 2177 MHz, 9.36 W, 0 %, 44, 0x0000000000000000
2026/09/12 03:54:10.957, 2177 MHz, 9.36 W, 0 %, 44, 0x0000000000000000
2026/09/12 03:54:11.157, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 03:54:11.357, 2177 MHz, 9.70 W, 2 %, 45, 0x0000000000000000
2026/09/12 03:54:11.558, 2177 MHz, 9.88 W, 2 %, 44, 0x0000000000000000
2026/09/12 03:54:11.758, 2177 MHz, 9.88 W, 2 %, 44, 0x0000000000000000
2026/09/12 03:54:11.959, 2177 MHz, 9.88 W, 2 %, 44, 0x0000000000000000
2026/09/12 03:54:12.159, 2177 MHz, 14.52 W, 67 %, 46, 0x0000000000000000
2026/09/12 03:54:12.360, 2177 MHz, 14.52 W, 67 %, 46, 0x0000000000000000
2026/09/12 03:54:12.560, 2177 MHz, 19.26 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:12.761, 2177 MHz, 19.26 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:12.961, 2177 MHz, 19.26 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:13.162, 2177 MHz, 19.25 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:13.362, 2177 MHz, 19.25 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:13.562, 2177 MHz, 19.33 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:13.763, 2177 MHz, 19.33 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:13.963, 2177 MHz, 19.33 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:14.164, 2177 MHz, 19.33 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:14.365, 2177 MHz, 19.33 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:14.565, 2177 MHz, 19.33 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:14.766, 2177 MHz, 19.33 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:14.966, 2177 MHz, 19.33 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:15.167, 2177 MHz, 19.23 W, 66 %, 47, 0x0000000000000000
2026/09/12 03:54:15.367, 2177 MHz, 19.23 W, 66 %, 47, 0x0000000000000000
2026/09/12 03:54:15.567, 2177 MHz, 19.20 W, 66 %, 47, 0x0000000000000000
2026/09/12 03:54:15.768, 2177 MHz, 19.20 W, 66 %, 47, 0x0000000000000000
2026/09/12 03:54:15.969, 2177 MHz, 19.20 W, 66 %, 47, 0x0000000000000000
2026/09/12 03:54:16.169, 2177 MHz, 19.08 W, 65 %, 47, 0x0000000000000000
2026/09/12 03:54:16.370, 2177 MHz, 19.08 W, 65 %, 47, 0x0000000000000000
2026/09/12 03:54:16.570, 2177 MHz, 18.97 W, 65 %, 46, 0x0000000000000000
2026/09/12 03:54:16.771, 2177 MHz, 18.97 W, 65 %, 46, 0x0000000000000000
2026/09/12 03:54:16.972, 2177 MHz, 18.97 W, 65 %, 46, 0x0000000000000000
2026/09/12 03:54:17.172, 2177 MHz, 19.12 W, 67 %, 46, 0x0000000000000000
2026/09/12 03:54:17.373, 2177 MHz, 19.12 W, 67 %, 46, 0x0000000000000000
2026/09/12 03:54:17.573, 2177 MHz, 19.30 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:17.774, 2177 MHz, 19.30 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:17.975, 2177 MHz, 19.30 W, 67 %, 47, 0x0000000000000000
2026/09/12 03:54:18.175, 2177 MHz, 19.31 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:18.376, 2177 MHz, 19.31 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:18.576, 2177 MHz, 19.32 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:18.777, 2177 MHz, 19.32 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:18.978, 2177 MHz, 19.32 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:19.178, 2177 MHz, 19.41 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:19.379, 2177 MHz, 19.41 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:19.579, 2177 MHz, 19.43 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:19.780, 2177 MHz, 19.43 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:19.981, 2177 MHz, 19.43 W, 67 %, 48, 0x0000000000000000
2026/09/12 03:54:20.181, 2177 MHz, 19.32 W, 65 %, 47, 0x0000000000000000
2026/09/12 03:54:20.381, 2177 MHz, 19.32 W, 65 %, 47, 0x0000000000000000
2026/09/12 03:54:20.582, 2177 MHz, 19.19 W, 65 %, 47, 0x0000000000000000
2026/09/12 03:54:20.782, 2177 MHz, 19.19 W, 65 %, 47, 0x0000000000000000
2026/09/12 03:54:20.982, 2177 MHz, 19.19 W, 65 %, 47, 0x0000000000000000
2026/09/12 03:54:21.183, 2177 MHz, 19.09 W, 64 %, 47, 0x0000000000000000
2026/09/12 03:54:21.384, 2177 MHz, 19.09 W, 64 %, 47, 0x0000000000000000
2026/09/12 03:54:21.584, 2177 MHz, 19.25 W, 64 %, 47, 0x0000000000000000
2026/09/12 03:54:21.785, 2177 MHz, 19.25 W, 64 %, 47, 0x0000000000000000
2026/09/12 03:54:21.985, 2177 MHz, 19.25 W, 64 %, 47, 0x0000000000000000
2026/09/12 03:54:22.185, 2177 MHz, 21.21 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:22.386, 2177 MHz, 21.21 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:22.586, 2177 MHz, 23.23 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:22.786, 2177 MHz, 23.23 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:22.987, 2177 MHz, 23.23 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:23.187, 2177 MHz, 23.82 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:23.387, 2177 MHz, 23.82 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:23.588, 2177 MHz, 23.99 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:23.788, 2177 MHz, 23.99 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:23.988, 2177 MHz, 23.99 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:24.189, 2177 MHz, 23.99 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:24.389, 2177 MHz, 23.99 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:24.590, 2177 MHz, 23.98 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:24.790, 2177 MHz, 23.98 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:24.991, 2177 MHz, 23.98 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:25.191, 2177 MHz, 24.01 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:25.392, 2177 MHz, 24.01 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:25.592, 2177 MHz, 24.05 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:25.792, 2177 MHz, 24.05 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:25.993, 2177 MHz, 24.05 W, 96 %, 49, 0x0000000000000000
2026/09/12 03:54:26.193, 2177 MHz, 24.02 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:26.394, 2177 MHz, 24.02 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:26.594, 2177 MHz, 23.97 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:26.794, 2177 MHz, 23.97 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:26.995, 2177 MHz, 23.97 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:27.196, 2177 MHz, 23.99 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:27.396, 2177 MHz, 23.99 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:27.596, 2177 MHz, 24.05 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:27.796, 2177 MHz, 24.05 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:27.997, 2177 MHz, 24.05 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:28.198, 2177 MHz, 24.04 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:28.398, 2177 MHz, 24.04 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:28.598, 2177 MHz, 24.04 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:28.798, 2177 MHz, 24.04 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:28.999, 2177 MHz, 24.04 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:29.199, 2177 MHz, 24.06 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:29.400, 2177 MHz, 24.06 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:29.600, 2177 MHz, 24.07 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:29.801, 2177 MHz, 24.07 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:30.001, 2177 MHz, 24.07 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:30.201, 2177 MHz, 24.06 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:30.401, 2177 MHz, 24.06 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:30.602, 2177 MHz, 24.06 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:30.802, 2177 MHz, 24.06 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:31.003, 2177 MHz, 24.06 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:31.203, 2177 MHz, 24.07 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:31.404, 2177 MHz, 24.07 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:31.604, 2177 MHz, 24.09 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:31.805, 2177 MHz, 24.09 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:32.006, 2177 MHz, 24.09 W, 96 %, 50, 0x0000000000000000
2026/09/12 03:54:32.207, 2171 MHz, 24.44 W, 25 %, 49, 0x0000000000000000
2026/09/12 03:54:32.407, 2171 MHz, 24.44 W, 25 %, 49, 0x0000000000000000
2026/09/12 03:54:32.608, 2171 MHz, 24.05 W, 25 %, 49, 0x0000000000000000
2026/09/12 03:54:32.809, 2171 MHz, 24.05 W, 25 %, 49, 0x0000000000000000
2026/09/12 03:54:33.010, 2171 MHz, 24.05 W, 25 %, 49, 0x0000000000000000
2026/09/12 03:54:33.210, 2171 MHz, 24.12 W, 18 %, 49, 0x0000000000000000
2026/09/12 03:54:33.410, 2171 MHz, 24.12 W, 18 %, 49, 0x0000000000000000
2026/09/12 03:54:33.610, 2171 MHz, 24.45 W, 18 %, 52, 0x0000000000000000
2026/09/12 03:54:33.810, 2171 MHz, 24.45 W, 18 %, 52, 0x0000000000000000
2026/09/12 03:54:34.011, 2171 MHz, 24.45 W, 18 %, 52, 0x0000000000000000
2026/09/12 03:54:34.211, 2171 MHz, 23.88 W, 17 %, 49, 0x0000000000000000
2026/09/12 03:54:34.411, 2171 MHz, 23.88 W, 17 %, 49, 0x0000000000000000
2026/09/12 03:54:34.611, 2171 MHz, 23.85 W, 17 %, 50, 0x0000000000000000
2026/09/12 03:54:34.812, 2171 MHz, 23.85 W, 17 %, 50, 0x0000000000000000
2026/09/12 03:54:35.013, 2171 MHz, 23.85 W, 17 %, 50, 0x0000000000000000
2026/09/12 03:54:35.213, 2171 MHz, 24.44 W, 26 %, 54, 0x0000000000000000
2026/09/12 03:54:35.413, 2171 MHz, 24.44 W, 26 %, 54, 0x0000000000000000
2026/09/12 03:54:35.614, 2171 MHz, 23.90 W, 26 %, 49, 0x0000000000000000
2026/09/12 03:54:35.814, 2171 MHz, 23.90 W, 26 %, 49, 0x0000000000000000
2026/09/12 03:54:36.014, 2171 MHz, 24.15 W, 23 %, 52, 0x0000000000000000
2026/09/12 03:54:36.214, 2171 MHz, 24.15 W, 23 %, 52, 0x0000000000000000
2026/09/12 03:54:36.414, 2171 MHz, 24.15 W, 23 %, 52, 0x0000000000000000
2026/09/12 03:54:36.614, 2171 MHz, 24.15 W, 23 %, 52, 0x0000000000000000
2026/09/12 03:54:36.815, 2171 MHz, 24.15 W, 23 %, 52, 0x0000000000000000
2026/09/12 03:54:37.016, 2171 MHz, 23.88 W, 17 %, 49, 0x0000000000000000
2026/09/12 03:54:37.216, 2171 MHz, 23.88 W, 17 %, 49, 0x0000000000000000
2026/09/12 03:54:37.416, 2171 MHz, 23.88 W, 17 %, 49, 0x0000000000000000
2026/09/12 03:54:37.616, 2177 MHz, 23.86 W, 17 %, 50, 0x0000000000000000
2026/09/12 03:54:37.816, 2177 MHz, 23.86 W, 17 %, 50, 0x0000000000000000
2026/09/12 03:54:38.017, 2177 MHz, 24.16 W, 26 %, 49, 0x0000000000000000
2026/09/12 03:54:38.218, 2177 MHz, 24.16 W, 26 %, 49, 0x0000000000000000
2026/09/12 03:54:38.418, 2177 MHz, 24.16 W, 26 %, 49, 0x0000000000000000
2026/09/12 03:54:38.619, 2171 MHz, 23.91 W, 26 %, 50, 0x0000000000000000
