timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:39:02.783, 2184 MHz, 10.10 W, 0 %, 53, 0x0000000000000000
2026/09/12 04:39:02.990, 2184 MHz, 10.10 W, 0 %, 53, 0x0000000000000000
2026/09/12 04:39:03.190, 2184 MHz, 10.11 W, 0 %, 53, 0x0000000000000000
2026/09/12 04:39:03.390, 2184 MHz, 10.11 W, 0 %, 53, 0x0000000000000000
2026/09/12 04:39:03.591, 2184 MHz, 10.14 W, 2 %, 53, 0x0000000000000000
2026/09/12 04:39:03.791, 2184 MHz, 10.14 W, 2 %, 53, 0x0000000000000000
2026/09/12 04:39:03.991, 2184 MHz, 10.14 W, 2 %, 53, 0x0000000000000000
2026/09/12 04:39:04.191, 2184 MHz, 10.72 W, 2 %, 53, 0x0000000000000000
2026/09/12 04:39:04.391, 2184 MHz, 10.72 W, 2 %, 53, 0x0000000000000000
2026/09/12 04:39:04.592, 2184 MHz, 11.27 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:04.792, 2184 MHz, 11.27 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:04.992, 2184 MHz, 11.27 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:05.192, 2184 MHz, 11.39 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:05.393, 2184 MHz, 11.39 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:05.593, 2184 MHz, 11.29 W, 4 %, 53, 0x0000000000000000
2026/09/12 04:39:05.793, 2184 MHz, 11.29 W, 4 %, 53, 0x0000000000000000
2026/09/12 04:39:05.993, 2184 MHz, 11.29 W, 4 %, 53, 0x0000000000000000
2026/09/12 04:39:06.193, 2184 MHz, 11.29 W, 4 %, 53, 0x0000000000000000
2026/09/12 04:39:06.394, 2184 MHz, 11.29 W, 4 %, 53, 0x0000000000000000
2026/09/12 04:39:06.594, 2184 MHz, 11.34 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:06.794, 2184 MHz, 11.34 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:06.994, 2184 MHz, 11.34 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:07.194, 2184 MHz, 11.36 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:07.394, 2184 MHz, 11.36 W, 5 %, 53, 0x0000000000000000
2026/09/12 04:39:07.595, 2177 MHz, 11.22 W, 6 %, 53, 0x0000000000000000
2026/09/12 04:39:07.795, 2177 MHz, 11.22 W, 6 %, 53, 0x0000000000000000
2026/09/12 04:39:07.995, 2177 MHz, 11.22 W, 6 %, 53, 0x0000000000000000
2026/09/12 04:39:08.195, 2177 MHz, 11.65 W, 6 %, 54, 0x0000000000000000
2026/09/12 04:39:08.395, 2177 MHz, 11.65 W, 6 %, 54, 0x0000000000000000
2026/09/12 04:39:08.596, 2177 MHz, 12.32 W, 18 %, 53, 0x0000000000000000
2026/09/12 04:39:08.796, 2177 MHz, 12.32 W, 18 %, 53, 0x0000000000000000
2026/09/12 04:39:08.996, 2177 MHz, 12.32 W, 18 %, 53, 0x0000000000000000
2026/09/12 04:39:09.196, 2177 MHz, 12.50 W, 18 %, 53, 0x0000000000000000
2026/09/12 04:39:09.396, 2177 MHz, 12.50 W, 18 %, 53, 0x0000000000000000
2026/09/12 04:39:09.596, 2177 MHz, 12.41 W, 30 %, 53, 0x0000000000000000
2026/09/12 04:39:09.796, 2177 MHz, 12.41 W, 30 %, 53, 0x0000000000000000
2026/09/12 04:39:09.997, 2177 MHz, 12.41 W, 30 %, 53, 0x0000000000000000
2026/09/12 04:39:10.197, 2177 MHz, 12.74 W, 30 %, 54, 0x0000000000000000
2026/09/12 04:39:10.397, 2177 MHz, 12.74 W, 30 %, 54, 0x0000000000000000
2026/09/12 04:39:10.597, 2177 MHz, 13.17 W, 20 %, 53, 0x0000000000000000
2026/09/12 04:39:10.797, 2177 MHz, 13.17 W, 20 %, 53, 0x0000000000000000
2026/09/12 04:39:10.998, 2177 MHz, 13.17 W, 20 %, 53, 0x0000000000000000
2026/09/12 04:39:11.198, 2184 MHz, 13.46 W, 20 %, 54, 0x0000000000000000
2026/09/12 04:39:11.398, 2184 MHz, 13.46 W, 20 %, 54, 0x0000000000000000
2026/09/12 04:39:11.598, 2184 MHz, 13.82 W, 17 %, 53, 0x0000000000000000
2026/09/12 04:39:11.798, 2184 MHz, 13.82 W, 17 %, 53, 0x0000000000000000
2026/09/12 04:39:11.999, 2184 MHz, 13.82 W, 17 %, 53, 0x0000000000000000
2026/09/12 04:39:12.199, 2184 MHz, 14.10 W, 17 %, 53, 0x0000000000000000
2026/09/12 04:39:12.399, 2184 MHz, 14.10 W, 17 %, 53, 0x0000000000000000
2026/09/12 04:39:12.599, 2184 MHz, 14.08 W, 17 %, 53, 0x0000000000000000
2026/09/12 04:39:12.799, 2184 MHz, 14.08 W, 17 %, 53, 0x0000000000000000
2026/09/12 04:39:12.999, 2184 MHz, 14.08 W, 17 %, 53, 0x0000000000000000
2026/09/12 04:39:13.200, 2184 MHz, 14.13 W, 17 %, 54, 0x0000000000000000
2026/09/12 04:39:13.400, 2184 MHz, 14.13 W, 17 %, 54, 0x0000000000000000
2026/09/12 04:39:13.600, 2184 MHz, 14.08 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:13.801, 2184 MHz, 14.08 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:14.001, 2184 MHz, 14.08 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:14.201, 2184 MHz, 14.39 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:14.401, 2184 MHz, 14.39 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:14.602, 2184 MHz, 14.90 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:14.802, 2184 MHz, 14.90 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:15.002, 2184 MHz, 14.90 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:15.202, 2184 MHz, 15.14 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:15.403, 2184 MHz, 15.14 W, 29 %, 54, 0x0000000000000000
2026/09/12 04:39:15.603, 2184 MHz, 15.36 W, 27 %, 54, 0x0000000000000000
2026/09/12 04:39:15.803, 2184 MHz, 15.36 W, 27 %, 54, 0x0000000000000000
2026/09/12 04:39:16.003, 2184 MHz, 15.36 W, 27 %, 54, 0x0000000000000000
2026/09/12 04:39:16.203, 2184 MHz, 15.55 W, 27 %, 54, 0x0000000000000000
2026/09/12 04:39:16.403, 2184 MHz, 15.55 W, 27 %, 54, 0x0000000000000000
2026/09/12 04:39:16.604, 2184 MHz, 16.25 W, 36 %, 54, 0x0000000000000000
2026/09/12 04:39:16.804, 2184 MHz, 16.25 W, 36 %, 54, 0x0000000000000000
2026/09/12 04:39:17.004, 2184 MHz, 16.25 W, 36 %, 54, 0x0000000000000000
2026/09/12 04:39:17.204, 2184 MHz, 16.81 W, 36 %, 54, 0x0000000000000000
2026/09/12 04:39:17.404, 2184 MHz, 16.81 W, 36 %, 54, 0x0000000000000000
2026/09/12 04:39:17.605, 2184 MHz, 17.54 W, 41 %, 55, 0x0000000000000000
2026/09/12 04:39:17.806, 2184 MHz, 17.54 W, 41 %, 55, 0x0000000000000000
2026/09/12 04:39:18.006, 2184 MHz, 17.54 W, 41 %, 55, 0x0000000000000000
2026/09/12 04:39:18.206, 2184 MHz, 17.11 W, 41 %, 54, 0x0000000000000000
2026/09/12 04:39:18.406, 2184 MHz, 17.11 W, 41 %, 54, 0x0000000000000000
2026/09/12 04:39:18.606, 2184 MHz, 15.28 W, 16 %, 54, 0x0000000000000000
2026/09/12 04:39:18.806, 2184 MHz, 15.28 W, 16 %, 54, 0x0000000000000000
2026/09/12 04:39:19.007, 2184 MHz, 15.28 W, 16 %, 54, 0x0000000000000000
2026/09/12 04:39:19.207, 2184 MHz, 20.42 W, 16 %, 56, 0x0000000000000000
2026/09/12 04:39:19.408, 2184 MHz, 20.42 W, 16 %, 56, 0x0000000000000000
2026/09/12 04:39:19.608, 2184 MHz, 26.21 W, 76 %, 56, 0x0000000000000000
2026/09/12 04:39:19.808, 2184 MHz, 26.21 W, 76 %, 56, 0x0000000000000000
2026/09/12 04:39:20.009, 2184 MHz, 26.21 W, 76 %, 56, 0x0000000000000000
2026/09/12 04:39:20.209, 2184 MHz, 26.41 W, 76 %, 57, 0x0000000000000000
2026/09/12 04:39:20.409, 2184 MHz, 26.41 W, 76 %, 57, 0x0000000000000000
2026/09/12 04:39:20.610, 2184 MHz, 26.90 W, 80 %, 57, 0x0000000000000000
2026/09/12 04:39:20.811, 2184 MHz, 26.90 W, 80 %, 57, 0x0000000000000000
2026/09/12 04:39:21.011, 2184 MHz, 26.90 W, 80 %, 57, 0x0000000000000000
2026/09/12 04:39:21.211, 2184 MHz, 27.15 W, 80 %, 57, 0x0000000000000000
2026/09/12 04:39:21.412, 2184 MHz, 27.15 W, 80 %, 57, 0x0000000000000000
2026/09/12 04:39:21.612, 2184 MHz, 26.94 W, 73 %, 56, 0x0000000000000000
2026/09/12 04:39:21.812, 2184 MHz, 26.94 W, 73 %, 56, 0x0000000000000000
2026/09/12 04:39:22.012, 2184 MHz, 26.94 W, 73 %, 56, 0x0000000000000000
2026/09/12 04:39:22.212, 2184 MHz, 20.80 W, 73 %, 55, 0x0000000000000000
2026/09/12 04:39:22.412, 2184 MHz, 20.80 W, 73 %, 55, 0x0000000000000000
2026/09/12 04:39:22.613, 2184 MHz, 14.26 W, 13 %, 54, 0x0000000000000000
2026/09/12 04:39:22.813, 2184 MHz, 14.26 W, 13 %, 54, 0x0000000000000000
2026/09/12 04:39:23.013, 2184 MHz, 14.26 W, 13 %, 54, 0x0000000000000000
2026/09/12 04:39:23.213, 2184 MHz, 13.85 W, 13 %, 55, 0x0000000000000000
2026/09/12 04:39:23.414, 2184 MHz, 13.85 W, 13 %, 55, 0x0000000000000000
2026/09/12 04:39:23.614, 2184 MHz, 14.06 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:23.814, 2184 MHz, 14.06 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:24.014, 2184 MHz, 14.06 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:24.214, 2184 MHz, 14.54 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:24.415, 2184 MHz, 14.54 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:24.615, 2184 MHz, 15.72 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:24.815, 2184 MHz, 15.72 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:25.016, 2184 MHz, 15.72 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:25.216, 2184 MHz, 15.97 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:25.416, 2184 MHz, 15.97 W, 43 %, 55, 0x0000000000000000
2026/09/12 04:39:25.616, 2184 MHz, 16.06 W, 42 %, 55, 0x0000000000000000
2026/09/12 04:39:25.816, 2184 MHz, 16.06 W, 42 %, 55, 0x0000000000000000
2026/09/12 04:39:26.017, 2184 MHz, 16.06 W, 42 %, 55, 0x0000000000000000
2026/09/12 04:39:26.217, 2184 MHz, 16.38 W, 42 %, 55, 0x0000000000000000
2026/09/12 04:39:26.417, 2184 MHz, 16.38 W, 42 %, 55, 0x0000000000000000
2026/09/12 04:39:26.617, 2184 MHz, 16.17 W, 36 %, 55, 0x0000000000000000
2026/09/12 04:39:26.817, 2184 MHz, 16.17 W, 36 %, 55, 0x0000000000000000
2026/09/12 04:39:27.017, 2184 MHz, 16.17 W, 36 %, 55, 0x0000000000000000
2026/09/12 04:39:27.218, 2184 MHz, 17.07 W, 36 %, 55, 0x0000000000000000
2026/09/12 04:39:27.418, 2184 MHz, 17.07 W, 36 %, 55, 0x0000000000000000
2026/09/12 04:39:27.618, 2184 MHz, 17.85 W, 43 %, 56, 0x0000000000000000
2026/09/12 04:39:27.819, 2184 MHz, 17.85 W, 43 %, 56, 0x0000000000000000
2026/09/12 04:39:28.019, 2184 MHz, 17.85 W, 43 %, 56, 0x0000000000000000
2026/09/12 04:39:28.219, 2184 MHz, 18.33 W, 43 %, 56, 0x0000000000000000
2026/09/12 04:39:28.419, 2184 MHz, 18.33 W, 43 %, 56, 0x0000000000000000
2026/09/12 04:39:28.620, 2184 MHz, 19.41 W, 44 %, 56, 0x0000000000000000
2026/09/12 04:39:28.820, 2184 MHz, 19.41 W, 44 %, 56, 0x0000000000000000
2026/09/12 04:39:29.020, 2184 MHz, 19.41 W, 44 %, 56, 0x0000000000000000
2026/09/12 04:39:29.220, 2184 MHz, 19.52 W, 44 %, 55, 0x0000000000000000
2026/09/12 04:39:29.421, 2184 MHz, 19.52 W, 44 %, 55, 0x0000000000000000
2026/09/12 04:39:29.621, 2184 MHz, 18.84 W, 49 %, 56, 0x0000000000000000
2026/09/12 04:39:29.821, 2184 MHz, 18.84 W, 49 %, 56, 0x0000000000000000
2026/09/12 04:39:30.022, 2184 MHz, 18.84 W, 49 %, 56, 0x0000000000000000
2026/09/12 04:39:30.222, 2184 MHz, 19.51 W, 49 %, 56, 0x0000000000000000
2026/09/12 04:39:30.422, 2184 MHz, 19.51 W, 49 %, 56, 0x0000000000000000
2026/09/12 04:39:30.622, 2184 MHz, 21.02 W, 70 %, 56, 0x0000000000000000
2026/09/12 04:39:30.823, 2184 MHz, 21.02 W, 70 %, 56, 0x0000000000000000
2026/09/12 04:39:31.023, 2184 MHz, 21.02 W, 70 %, 56, 0x0000000000000000
2026/09/12 04:39:31.223, 2184 MHz, 19.61 W, 70 %, 56, 0x0000000000000000
2026/09/12 04:39:31.423, 2184 MHz, 19.61 W, 70 %, 56, 0x0000000000000000
2026/09/12 04:39:31.624, 2184 MHz, 19.09 W, 64 %, 56, 0x0000000000000000
2026/09/12 04:39:31.824, 2184 MHz, 19.09 W, 64 %, 56, 0x0000000000000000
2026/09/12 04:39:32.024, 2184 MHz, 19.09 W, 64 %, 56, 0x0000000000000000
2026/09/12 04:39:32.225, 2184 MHz, 19.95 W, 64 %, 56, 0x0000000000000000
2026/09/12 04:39:32.425, 2184 MHz, 19.95 W, 64 %, 56, 0x0000000000000000
2026/09/12 04:39:32.625, 2184 MHz, 20.50 W, 47 %, 56, 0x0000000000000000
2026/09/12 04:39:32.825, 2184 MHz, 20.50 W, 47 %, 56, 0x0000000000000000
2026/09/12 04:39:33.026, 2184 MHz, 20.50 W, 47 %, 56, 0x0000000000000000
2026/09/12 04:39:33.226, 2184 MHz, 20.05 W, 47 %, 56, 0x0000000000000000
2026/09/12 04:39:33.426, 2184 MHz, 20.05 W, 47 %, 56, 0x0000000000000000
2026/09/12 04:39:33.627, 2184 MHz, 20.08 W, 58 %, 57, 0x0000000000000000
2026/09/12 04:39:33.827, 2184 MHz, 20.08 W, 58 %, 57, 0x0000000000000000
