timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 05:25:07.229, 2190 MHz, 9.86 W, 0 %, 52, 0x0000000000000000
2026/09/12 05:25:07.435, 2190 MHz, 9.87 W, 0 %, 52, 0x0000000000000000
2026/09/12 05:25:07.635, 2190 MHz, 9.87 W, 0 %, 52, 0x0000000000000000
2026/09/12 05:25:07.836, 2190 MHz, 9.87 W, 0 %, 52, 0x0000000000000000
2026/09/12 05:25:08.036, 2190 MHz, 10.35 W, 0 %, 52, 0x0000000000000000
2026/09/12 05:25:08.236, 2190 MHz, 10.35 W, 0 %, 52, 0x0000000000000000
2026/09/12 05:25:08.436, 2190 MHz, 10.89 W, 7 %, 52, 0x0000000000000000
2026/09/12 05:25:08.637, 2190 MHz, 10.89 W, 7 %, 52, 0x0000000000000000
2026/09/12 05:25:08.837, 2190 MHz, 10.89 W, 7 %, 52, 0x0000000000000000
2026/09/12 05:25:09.038, 2190 MHz, 11.38 W, 7 %, 52, 0x0000000000000000
2026/09/12 05:25:09.238, 2190 MHz, 11.38 W, 7 %, 52, 0x0000000000000000
2026/09/12 05:25:09.439, 2190 MHz, 11.46 W, 8 %, 52, 0x0000000000000000
2026/09/12 05:25:09.639, 2190 MHz, 11.46 W, 8 %, 52, 0x0000000000000000
2026/09/12 05:25:09.839, 2190 MHz, 11.46 W, 8 %, 52, 0x0000000000000000
2026/09/12 05:25:10.039, 2190 MHz, 11.21 W, 8 %, 52, 0x0000000000000000
2026/09/12 05:25:10.239, 2190 MHz, 11.21 W, 8 %, 52, 0x0000000000000000
2026/09/12 05:25:10.440, 2190 MHz, 11.19 W, 6 %, 52, 0x0000000000000000
2026/09/12 05:25:10.640, 2190 MHz, 11.19 W, 6 %, 52, 0x0000000000000000
2026/09/12 05:25:10.841, 2190 MHz, 11.19 W, 6 %, 52, 0x0000000000000000
2026/09/12 05:25:11.041, 2190 MHz, 11.21 W, 6 %, 52, 0x0000000000000000
2026/09/12 05:25:11.242, 2190 MHz, 11.21 W, 6 %, 52, 0x0000000000000000
2026/09/12 05:25:11.442, 2190 MHz, 11.10 W, 9 %, 52, 0x0000000000000000
2026/09/12 05:25:11.642, 2190 MHz, 11.10 W, 9 %, 52, 0x0000000000000000
2026/09/12 05:25:11.842, 2190 MHz, 11.10 W, 9 %, 52, 0x0000000000000000
2026/09/12 05:25:12.043, 2190 MHz, 11.97 W, 9 %, 52, 0x0000000000000000
2026/09/12 05:25:12.243, 2190 MHz, 11.97 W, 9 %, 52, 0x0000000000000000
2026/09/12 05:25:12.443, 2190 MHz, 12.74 W, 43 %, 53, 0x0000000000000000
2026/09/12 05:25:12.644, 2190 MHz, 12.74 W, 43 %, 53, 0x0000000000000000
2026/09/12 05:25:12.844, 2190 MHz, 12.74 W, 43 %, 53, 0x0000000000000000
2026/09/12 05:25:13.044, 2190 MHz, 12.71 W, 43 %, 53, 0x0000000000000000
2026/09/12 05:25:13.245, 2190 MHz, 12.71 W, 43 %, 53, 0x0000000000000000
2026/09/12 05:25:13.445, 2190 MHz, 12.80 W, 25 %, 53, 0x0000000000000000
2026/09/12 05:25:13.645, 2190 MHz, 12.80 W, 25 %, 53, 0x0000000000000000
2026/09/12 05:25:13.845, 2190 MHz, 12.80 W, 25 %, 53, 0x0000000000000000
