timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 05:16:06.837, 2190 MHz, 9.53 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:16:07.044, 2190 MHz, 9.53 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:16:07.244, 2190 MHz, 9.53 W, 0 %, 50, 0x0000000000000000
2026/09/12 05:16:07.444, 2190 MHz, 9.60 W, 1 %, 50, 0x0000000000000000
2026/09/12 05:16:07.645, 2190 MHz, 9.60 W, 1 %, 50, 0x0000000000000000
2026/09/12 05:16:07.845, 2190 MHz, 12.83 W, 1 %, 52, 0x0000000000000000
2026/09/12 05:16:08.045, 2190 MHz, 12.83 W, 1 %, 52, 0x0000000000000000
2026/09/12 05:16:08.245, 2190 MHz, 12.83 W, 1 %, 52, 0x0000000000000000
2026/09/12 05:16:08.446, 2190 MHz, 16.09 W, 47 %, 51, 0x0000000000000000
2026/09/12 05:16:08.646, 2190 MHz, 16.09 W, 47 %, 51, 0x0000000000000000
2026/09/12 05:16:08.846, 2190 MHz, 16.94 W, 47 %, 53, 0x0000000000000000
2026/09/12 05:16:09.047, 2190 MHz, 16.94 W, 47 %, 53, 0x0000000000000000
2026/09/12 05:16:09.247, 2190 MHz, 16.94 W, 47 %, 53, 0x0000000000000000
2026/09/12 05:16:09.447, 2190 MHz, 16.86 W, 41 %, 51, 0x0000000000000000
2026/09/12 05:16:09.648, 2190 MHz, 16.86 W, 41 %, 51, 0x0000000000000000
2026/09/12 05:16:09.848, 2190 MHz, 16.83 W, 41 %, 52, 0x0000000000000000
2026/09/12 05:16:10.048, 2190 MHz, 16.83 W, 41 %, 52, 0x0000000000000000
2026/09/12 05:16:10.248, 2190 MHz, 16.83 W, 41 %, 52, 0x0000000000000000
2026/09/12 05:16:10.448, 2190 MHz, 16.92 W, 52 %, 51, 0x0000000000000000
2026/09/12 05:16:10.649, 2190 MHz, 16.92 W, 52 %, 51, 0x0000000000000000
2026/09/12 05:16:10.849, 2190 MHz, 17.04 W, 52 %, 51, 0x0000000000000000
2026/09/12 05:16:11.049, 2190 MHz, 17.04 W, 52 %, 51, 0x0000000000000000
2026/09/12 05:16:11.249, 2190 MHz, 17.04 W, 52 %, 51, 0x0000000000000000
2026/09/12 05:16:11.449, 2190 MHz, 17.00 W, 47 %, 52, 0x0000000000000000
2026/09/12 05:16:11.649, 2190 MHz, 17.00 W, 47 %, 52, 0x0000000000000000
2026/09/12 05:16:11.850, 2190 MHz, 16.61 W, 47 %, 51, 0x0000000000000000
