timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:09:23.639, 2190 MHz, 9.43 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:23.846, 2190 MHz, 9.43 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:24.046, 2190 MHz, 9.43 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:24.247, 2190 MHz, 9.57 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:24.447, 2190 MHz, 9.57 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:24.647, 2190 MHz, 9.53 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:24.847, 2190 MHz, 9.53 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:25.048, 2190 MHz, 9.53 W, 2 %, 45, 0x0000000000000000
2026/09/12 04:09:25.248, 2190 MHz, 9.42 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:25.448, 2190 MHz, 9.42 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:25.649, 2190 MHz, 9.43 W, 1 %, 46, 0x0000000000000000
2026/09/12 04:09:25.849, 2190 MHz, 9.43 W, 1 %, 46, 0x0000000000000000
2026/09/12 04:09:26.049, 2190 MHz, 9.43 W, 1 %, 46, 0x0000000000000000
2026/09/12 04:09:26.250, 2190 MHz, 9.48 W, 1 %, 46, 0x0000000000000000
2026/09/12 04:09:26.450, 2190 MHz, 9.48 W, 1 %, 46, 0x0000000000000000
2026/09/12 04:09:26.651, 2190 MHz, 9.45 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:26.851, 2190 MHz, 9.45 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:27.051, 2190 MHz, 9.45 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:27.252, 2190 MHz, 9.40 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:27.452, 2190 MHz, 9.40 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:27.653, 2190 MHz, 9.39 W, 3 %, 46, 0x0000000000000000
2026/09/12 04:09:27.853, 2190 MHz, 9.39 W, 3 %, 46, 0x0000000000000000
2026/09/12 04:09:28.053, 2190 MHz, 9.39 W, 3 %, 46, 0x0000000000000000
2026/09/12 04:09:28.254, 2190 MHz, 9.40 W, 3 %, 46, 0x0000000000000000
2026/09/12 04:09:28.454, 2190 MHz, 9.40 W, 3 %, 46, 0x0000000000000000
2026/09/12 04:09:28.654, 2190 MHz, 9.41 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:28.855, 2190 MHz, 9.41 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:29.055, 2190 MHz, 9.41 W, 2 %, 46, 0x0000000000000000
2026/09/12 04:09:29.255, 2190 MHz, 9.40 W, 2 %, 46, 0x0000000000000000
