timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:22:30.773, 2177 MHz, 9.86 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:30.979, 2177 MHz, 9.88 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:31.179, 2177 MHz, 9.88 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:31.380, 2177 MHz, 9.89 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:31.580, 2177 MHz, 9.89 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:31.780, 2177 MHz, 9.89 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:31.980, 2177 MHz, 10.03 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:32.180, 2177 MHz, 10.03 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:22:32.380, 2177 MHz, 10.64 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:32.580, 2177 MHz, 10.64 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:32.780, 2177 MHz, 10.64 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:32.981, 2177 MHz, 11.13 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:33.181, 2177 MHz, 11.13 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:33.381, 2177 MHz, 11.11 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:33.582, 2177 MHz, 11.11 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:33.782, 2177 MHz, 11.11 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:33.982, 2177 MHz, 11.11 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:34.182, 2177 MHz, 11.11 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:34.383, 2177 MHz, 11.11 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:34.583, 2177 MHz, 11.11 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:34.784, 2177 MHz, 11.11 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:34.984, 2177 MHz, 11.15 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:35.184, 2177 MHz, 11.15 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:22:35.384, 2177 MHz, 11.11 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:35.585, 2177 MHz, 11.11 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:35.785, 2177 MHz, 11.11 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:35.985, 2177 MHz, 11.61 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:36.186, 2177 MHz, 11.61 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:22:36.386, 2177 MHz, 12.30 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:36.586, 2177 MHz, 12.30 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:36.787, 2177 MHz, 12.30 W, 9 %, 52, 0x0000000000000000
2026/09/12 04:22:36.987, 2177 MHz, 12.94 W, 9 %, 52, 0x0000000000000000
