timestamp, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], temperature.gpu, clocks_event_reasons.active
2026/09/12 04:35:15.042, 2190 MHz, 11.50 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:35:15.248, 2190 MHz, 11.50 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:35:15.448, 2190 MHz, 11.50 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:35:15.649, 2190 MHz, 11.48 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:35:15.849, 2190 MHz, 11.48 W, 5 %, 52, 0x0000000000000000
2026/09/12 04:35:16.049, 2190 MHz, 11.52 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:16.250, 2190 MHz, 11.52 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:16.450, 2190 MHz, 11.52 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:16.650, 2190 MHz, 12.61 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:16.851, 2190 MHz, 12.61 W, 11 %, 52, 0x0000000000000000
2026/09/12 04:35:17.051, 2190 MHz, 11.39 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:17.252, 2190 MHz, 11.39 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:17.452, 2190 MHz, 11.39 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:17.652, 2190 MHz, 11.41 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:17.853, 2190 MHz, 11.41 W, 0 %, 52, 0x0000000000000000
2026/09/12 04:35:18.053, 2190 MHz, 11.44 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:18.253, 2190 MHz, 11.44 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:18.454, 2190 MHz, 11.44 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:18.654, 2190 MHz, 11.39 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:18.854, 2190 MHz, 11.39 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:19.055, 2190 MHz, 11.42 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:19.255, 2190 MHz, 11.42 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:19.455, 2190 MHz, 11.42 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:19.656, 2190 MHz, 11.41 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:19.856, 2190 MHz, 11.41 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:20.056, 2190 MHz, 11.40 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:20.257, 2190 MHz, 11.40 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:20.457, 2190 MHz, 11.40 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:20.658, 2190 MHz, 11.38 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:20.858, 2190 MHz, 11.38 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:21.059, 2190 MHz, 11.38 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:21.259, 2190 MHz, 11.38 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:21.459, 2190 MHz, 11.38 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:21.659, 2190 MHz, 11.42 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:21.859, 2190 MHz, 11.42 W, 7 %, 52, 0x0000000000000000
2026/09/12 04:35:22.060, 2190 MHz, 11.41 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:22.260, 2190 MHz, 11.41 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:22.460, 2190 MHz, 11.41 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:22.661, 2190 MHz, 10.17 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:22.861, 2190 MHz, 10.17 W, 4 %, 52, 0x0000000000000000
2026/09/12 04:35:23.061, 2190 MHz, 10.43 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:23.261, 2190 MHz, 10.43 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:23.462, 2190 MHz, 10.43 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:23.662, 2190 MHz, 10.52 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:23.863, 2190 MHz, 10.52 W, 6 %, 52, 0x0000000000000000
2026/09/12 04:35:24.063, 2190 MHz, 10.09 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:24.264, 2190 MHz, 10.09 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:24.464, 2190 MHz, 10.09 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:24.664, 2190 MHz, 9.70 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:24.865, 2190 MHz, 9.70 W, 1 %, 52, 0x0000000000000000
2026/09/12 04:35:25.065, 2190 MHz, 9.95 W, 44 %, 52, 0x0000000000000000
2026/09/12 04:35:25.266, 2190 MHz, 9.95 W, 44 %, 52, 0x0000000000000000
2026/09/12 04:35:25.466, 2190 MHz, 9.95 W, 44 %, 52, 0x0000000000000000
2026/09/12 04:35:25.666, 2190 MHz, 13.99 W, 44 %, 54, 0x0000000000000000
2026/09/12 04:35:25.866, 2190 MHz, 13.99 W, 44 %, 54, 0x0000000000000000
2026/09/12 04:35:26.066, 2190 MHz, 19.11 W, 63 %, 53, 0x0000000000000000
2026/09/12 04:35:26.267, 2190 MHz, 19.11 W, 63 %, 53, 0x0000000000000000
2026/09/12 04:35:26.467, 2190 MHz, 19.11 W, 63 %, 53, 0x0000000000000000
2026/09/12 04:35:26.668, 2190 MHz, 20.32 W, 63 %, 54, 0x0000000000000000
2026/09/12 04:35:26.868, 2190 MHz, 20.32 W, 63 %, 54, 0x0000000000000000
2026/09/12 04:35:27.069, 2190 MHz, 18.76 W, 19 %, 53, 0x0000000000000000
2026/09/12 04:35:27.269, 2190 MHz, 18.76 W, 19 %, 53, 0x0000000000000000
2026/09/12 04:35:27.470, 2190 MHz, 18.76 W, 19 %, 53, 0x0000000000000000
2026/09/12 04:35:27.670, 2190 MHz, 19.66 W, 19 %, 53, 0x0000000000000000
2026/09/12 04:35:27.871, 2190 MHz, 19.66 W, 19 %, 53, 0x0000000000000000
2026/09/12 04:35:28.071, 2190 MHz, 19.84 W, 56 %, 54, 0x0000000000000000
2026/09/12 04:35:28.271, 2190 MHz, 19.84 W, 56 %, 54, 0x0000000000000000
2026/09/12 04:35:28.471, 2190 MHz, 19.84 W, 56 %, 54, 0x0000000000000000
2026/09/12 04:35:28.672, 2190 MHz, 18.35 W, 56 %, 54, 0x0000000000000000
2026/09/12 04:35:28.872, 2190 MHz, 18.35 W, 56 %, 54, 0x0000000000000000
2026/09/12 04:35:29.072, 2190 MHz, 20.29 W, 64 %, 54, 0x0000000000000000
2026/09/12 04:35:29.273, 2190 MHz, 20.29 W, 64 %, 54, 0x0000000000000000
2026/09/12 04:35:29.473, 2190 MHz, 20.29 W, 64 %, 54, 0x0000000000000000
2026/09/12 04:35:29.673, 2190 MHz, 18.14 W, 64 %, 53, 0x0000000000000000
2026/09/12 04:35:29.874, 2190 MHz, 18.14 W, 64 %, 53, 0x0000000000000000
2026/09/12 04:35:30.074, 2190 MHz, 15.49 W, 56 %, 54, 0x0000000000000000
2026/09/12 04:35:30.275, 2190 MHz, 15.49 W, 56 %, 54, 0x0000000000000000
2026/09/12 04:35:30.475, 2190 MHz, 15.49 W, 56 %, 54, 0x0000000000000000
2026/09/12 04:35:30.675, 2190 MHz, 18.91 W, 56 %, 55, 0x0000000000000000
2026/09/12 04:35:30.875, 2190 MHz, 18.91 W, 56 %, 55, 0x0000000000000000
2026/09/12 04:35:31.076, 2190 MHz, 20.97 W, 61 %, 54, 0x0000000000000000
2026/09/12 04:35:31.276, 2190 MHz, 20.97 W, 61 %, 54, 0x0000000000000000
2026/09/12 04:35:31.476, 2190 MHz, 20.97 W, 61 %, 54, 0x0000000000000000
2026/09/12 04:35:31.677, 2190 MHz, 18.57 W, 61 %, 54, 0x0000000000000000
2026/09/12 04:35:31.877, 2190 MHz, 18.57 W, 61 %, 54, 0x0000000000000000
2026/09/12 04:35:32.077, 2190 MHz, 16.28 W, 36 %, 53, 0x0000000000000000
2026/09/12 04:35:32.277, 2190 MHz, 16.28 W, 36 %, 53, 0x0000000000000000
2026/09/12 04:35:32.478, 2190 MHz, 16.28 W, 36 %, 53, 0x0000000000000000
2026/09/12 04:35:32.678, 2190 MHz, 13.22 W, 36 %, 53, 0x0000000000000000
2026/09/12 04:35:32.878, 2190 MHz, 13.22 W, 36 %, 53, 0x0000000000000000
2026/09/12 04:35:33.079, 2190 MHz, 11.11 W, 7 %, 53, 0x0000000000000000
2026/09/12 04:35:33.279, 2190 MHz, 11.11 W, 7 %, 53, 0x0000000000000000
2026/09/12 04:35:33.479, 2190 MHz, 11.11 W, 7 %, 53, 0x0000000000000000
2026/09/12 04:35:33.680, 2190 MHz, 11.34 W, 7 %, 53, 0x0000000000000000
2026/09/12 04:35:33.880, 2190 MHz, 11.34 W, 7 %, 53, 0x0000000000000000
2026/09/12 04:35:34.080, 2190 MHz, 11.35 W, 7 %, 53, 0x0000000000000000
2026/09/12 04:35:34.281, 2190 MHz, 11.35 W, 7 %, 53, 0x0000000000000000
